rank,player,club,nationality,position,minutesPlayed
11,John Stones,Manchester City,England,DEF,"1,763"
13,Nicolás Otamendi,Manchester City,Argentina,DEF,"1,234"
14,Vincent Kompany,Manchester City,Belgium,DEF,"1,223"
18,Benjamin Mendy,Manchester City,France,DEF,900
19,Danilo,Manchester City,Brazil,DEF,806
20,Fabian Delph,Manchester City,England,DEF,725
1,Victor Lindelöf,Manchester United,Sweden,DEF,"2,602"
2,Luke Shaw,Manchester United,England,DEF,"2,592"
3,Ashley Young,Manchester United,England,DEF,"2,569"
4,Chris Smalling,Manchester United,England,DEF,"2,128"
5,Phil Jones,Manchester United,England,DEF,"1,262"
6,Diogo Dalot,Manchester United,Portugal,DEF,"1,014"
7,Eric Bailly,Manchester United,Cote D'Ivoire,DEF,639
8,Antonio Valencia,Manchester United,Ecuador,DEF,465
9,Matteo Darmian,Manchester United,Italy,DEF,444
10,Marcos Rojo,Manchester United,Argentina,DEF,211
1,Jamaal Lascelles,Newcastle United,England,DEF,"2,745"
2,DeAndre Yedlin,Newcastle United,United States,DEF,"2,474"
3,Fabian Schär,Newcastle United,Switzerland,DEF,"2,003"
4,Paul Dummett,Newcastle United,Wales,DEF,"1,987"
5,Federico Fernández,Newcastle United,Argentina,DEF,"1,482"
6,Javier Manquillo,Newcastle United,Spain,DEF,"1,099"
7,Florian Lejeune,Newcastle United,France,DEF,"1,055"
8,Ciaran Clark,Newcastle United,Ireland,DEF,858
9,Antonio Barreca,Newcastle United,Italy,DEF,4
1,Ryan Bertrand,Southampton,England,DEF,"2,160"
2,Jan Bednarek,Southampton,Poland,DEF,"2,150"
3,Jannik Vestergaard,Southampton,Denmark,DEF,"2,030"
4,Yan Valery,Southampton,France,DEF,"1,714"
5,Jack Stephens,Southampton,England,DEF,"1,697"
6,Maya Yoshida,Southampton,Japan,DEF,"1,519"
7,Cédric Soares,Southampton,Portugal,DEF,"1,494"
8,Matt Targett,Southampton,England,DEF,"1,187"
9,Wesley Hoedt,Southampton,Netherlands,DEF,"1,170"
10,Kayne Ramsay,Southampton,England,DEF,90
1,Toby Alderweireld,Tottenham Hotspur,Belgium,DEF,"2,923"
2,Kieran Trippier,Tottenham Hotspur,England,DEF,"2,278"
3,Davinson Sánchez,Tottenham Hotspur,Colombia,DEF,"1,943"
4,Jan Vertonghen,Tottenham Hotspur,Belgium,DEF,"1,914"
5,Ben Davies,Tottenham Hotspur,Wales,DEF,"1,839"
6,Danny Rose,Tottenham Hotspur,England,DEF,"1,798"
7,Juan Foyth,Tottenham Hotspur,Argentina,DEF,890
8,Serge Aurier,Tottenham Hotspur,Cote D'Ivoire,DEF,563
9,Kyle Walker-Peters,Tottenham Hotspur,England,DEF,374
1,Craig Cathcart,Watford,Northern Ireland,DEF,"3,098"
2,José Holebas,Watford,Greece,DEF,"2,394"
3,Kiko Femenía,Watford,Spain,DEF,"2,046"
4,Adrian Mariappa,Watford,Jamaica,DEF,"1,924"
5,Christian Kabasele,Watford,Belgium,DEF,"1,587"
6,Daryl Janmaat,Watford,Netherlands,DEF,"1,522"
7,Adam Masina,Watford,Italy,DEF,"1,004"
8,Miguel Britos,Watford,Uruguay,DEF,185
9,Marc Navarro,Watford,Spain,DEF,85
10,Ben Wilmot,Watford,England,DEF,26
11,Sebastian Prödl,Watford,Austria,DEF,13
1,Declan Rice,West Ham United,England,DEF,"3,004"
2,Issa Diop,West Ham United,France,DEF,"2,970"
3,Pablo Zabaleta,West Ham United,Argentina,DEF,"2,091"
4,Fabián Balbuena,West Ham United,Paraguay,DEF,"2,014"
5,Angelo Ogbonna,West Ham United,Italy,DEF,"1,871"
6,Arthur Masuaku,West Ham United,The Democratic Republic Of Congo,DEF,"1,757"
7,Aaron Cresswell,West Ham United,England,DEF,"1,590"
8,Ryan Fredericks,West Ham United,England,DEF,"1,085"
1,Willy Boly,Wolverhampton Wanderers,France,DEF,"3,168"
2,Matt Doherty,Wolverhampton Wanderers,Ireland,DEF,"3,147"
3,Ryan Bennett,Wolverhampton Wanderers,England,DEF,"3,060"
4,Jonny,Wolverhampton Wanderers,Spain,DEF,"2,777"
5,Rúben Vinagre,Wolverhampton Wanderers,Portugal,DEF,706
6,Max Kilman,Wolverhampton Wanderers,England,DEF,1
