rank,player,club,nationality,position,minutesPlayed
2,Jefferson Lerma,AFC Bournemouth,Colombia,MID,"2,510"
3,David Brooks,AFC Bournemouth,Wales,MID,"2,276"
4,Dan Gosling,AFC Bournemouth,England,MID,"1,738"
5,Andrew Surman,AFC Bournemouth,England,MID,"1,439"
6,Junior Stanislas,AFC Bournemouth,England,MID,"1,025"
7,Jordon Ibe,AFC Bournemouth,England,MID,796
8,Lewis Cook,AFC Bournemouth,England,MID,722
9,Emerson Hyndman,AFC Bournemouth,United States,MID,37
1,Granit Xhaka,Arsenal,Switzerland,MID,"2,501"
2,Lucas Torreira,Arsenal,Uruguay,MID,"2,379"
3,Matteo Guendouzi,Arsenal,France,MID,"2,142"
4,Alex Iwobi,Arsenal,Nigeria,MID,"1,972"
5,Mesut Özil,Arsenal,Germany,MID,"1,741"
6,Henrikh Mkhitaryan,Arsenal,Armenia,MID,"1,644"
7,Aaron Ramsey,Arsenal,Wales,MID,"1,328"
8,Ainsley Maitland-Niles,Arsenal,England,MID,986
9,Mohamed Elneny,Arsenal,Egypt,MID,379
10,Denis Suárez,Arsenal,Spain,MID,67
11,Joe Willock,Arsenal,England,MID,64
1,Davy Pröpper,Brighton and Hove Albion,Netherlands,MID,"2,551"
2,Dale Stephens,Brighton and Hove Albion,England,MID,"2,487"
3,Solly March,Brighton and Hove Albion,England,MID,"2,474"
4,Pascal Groß,Brighton and Hove Albion,Germany,MID,"1,876"
5,Anthony Knockaert,Brighton and Hove Albion,France,MID,"1,833"
6,Yves Bissouma,Brighton and Hove Albion,Mali,MID,"1,768"
7,Beram Kayal,Brighton and Hove Albion,Israel,MID,937
1,Jack Cork,Burnley,England,MID,"3,313"
2,Ashley Westwood,Burnley,England,MID,"2,822"
3,Jeff Hendrick,Burnley,Ireland,MID,"2,070"
4,Johann Gudmundsson,Burnley,Iceland,MID,"1,749"
5,Aaron Lennon,Burnley,England,MID,"1,215"
6,Robbie Brady,Burnley,Ireland,MID,715
7,Steven Defour,Burnley,Belgium,MID,452
1,Víctor Camarasa,Cardiff City,Spain,MID,"2,578"
2,Aron Gunnarsson,Cardiff City,Iceland,MID,"2,275"
3,Harry Arter,Cardiff City,Ireland,MID,"2,006"
4,Joe Ralls,Cardiff City,England,MID,"1,960"
5,Josh Murphy,Cardiff City,England,MID,"1,822"
6,Bobby De Cordova-Reid,Cardiff City,England,MID,"1,422"
7,Leandro Bacuna,Cardiff City,Curacao,MID,554
8,Kadeem Harris,Cardiff City,England,MID,366
9,Loïc Damour,Cardiff City,France,MID,21
1,Jorginho,Chelsea,Italy,MID,"3,165"
2,N'Golo Kanté,Chelsea,France,MID,"3,095"
3,Mateo Kovacic,Chelsea,Croatia,MID,"1,744"
4,Ross Barkley,Chelsea,England,MID,"1,241"
5,Ruben Loftus-Cheek,Chelsea,England,MID,983
6,Cesc Fàbregas,Chelsea,Spain,MID,175
7,Victor Moses,Chelsea,Nigeria,MID,26
1,Luka Milivojevic,Crystal Palace,Serbia,MID,"3,420"
2,Aaron Wan-Bissaka,Crystal Palace,England,MID,"3,135"
3,James McArthur,Crystal Palace,Scotland,MID,"3,072"
4,Andros Townsend,Crystal Palace,England,MID,"3,016"
5,Cheikhou Kouyaté,Crystal Palace,Senegal,MID,"1,897"
6,Max Meyer,Crystal Palace,Germany,MID,"1,410"
7,Bakary Sako,Crystal Palace,Mali,MID,26
8,Jason Puncheon,Crystal Palace,England,MID,11
9,Luke Dreher,Crystal Palace,England,MID,1
1,Gylfi Sigurdsson,Everton,Iceland,MID,"3,127"
2,Idrissa Gueye,Everton,Senegal,MID,"2,825"
3,Bernard,Everton,Brazil,MID,"2,127"
4,André Gomes,Everton,Portugal,MID,"1,986"
5,Tom Davies,Everton,England,MID,976
6,Morgan Schneiderlin,Everton,France,MID,835
7,James McCarthy,Everton,Ireland,MID,14
1,Ryan Sessegnon,Fulham,England,MID,"2,294"
2,Jean Michael Seri,Fulham,Cote D'Ivoire,MID,"2,250"
3,Tom Cairney,Fulham,Scotland,MID,"2,198"
4,André Schürrle,Fulham,Germany,MID,"1,649"
5,André-Frank Zambo Anguissa,Fulham,Cameroon,MID,"1,519"
6,Ryan Babel,Fulham,Netherlands,MID,"1,260"
7,Kevin McDonald,Fulham,Scotland,MID,842
8,Stefan Johansen,Fulham,Norway,MID,411
9,Ibrahima Cissé,Fulham,Guinea,MID,87
10,Lazar Markovic,Fulham,Serbia,MID,45
11,Harvey Elliott,Fulham,England,MID,18
1,Jonathan Hogg,Huddersfield Town,England,MID,"2,375"
2,Aaron Mooy,Huddersfield Town,Australia,MID,"2,327"
3,Philip Billing,Huddersfield Town,Denmark,MID,"2,190"
4,Alex Pritchard,Huddersfield Town,England,MID,"2,089"
5,Juninho Bacuna,Huddersfield Town,Netherlands,MID,"1,415"
6,Isaac Mbenza,Huddersfield Town,Belgium,MID,982
7,Rajiv van La Parra,Huddersfield Town,Netherlands,MID,407
8,Jason Puncheon,Huddersfield Town,England,MID,383
9,Danny Williams,Huddersfield Town,United States,MID,95
10,Ramadan Sobhi,Huddersfield Town,Egypt,MID,75
11,Matty Daly,Huddersfield Town,England,MID,73
12,Aaron Rowe,Huddersfield Town,England,MID,69
13,Abdelhamid Sabiri,Huddersfield Town,Germany,MID,48
1,Wilfred Ndidi,Leicester City,Nigeria,MID,"3,298"
2,James Maddison,Leicester City,England,MID,"2,848"
3,Nampalys Mendy,Leicester City,France,MID,"2,088"
4,Demarai Gray,Leicester City,England,MID,"1,996"
5,Marc Albrighton,Leicester City,England,MID,"1,626"
6,Youri Tielemans,Leicester City,Belgium,MID,"1,091"
7,Harvey Barnes,Leicester City,England,MID,"1,009"
8,Rachid Ghezzal,Leicester City,Algeria,MID,735
9,Daniel Amartey,Leicester City,Ghana,MID,639
10,Hamza Choudhury,Leicester City,England,MID,596
11,Vicente Iborra,Leicester City,Spain,MID,226
12,Adrien Silva,Leicester City,Portugal,MID,88
13,Fousseni Diabaté,Leicester City,Mali,MID,55
1,Georginio Wijnaldum,Liverpool,Netherlands,MID,"2,736"
2,Fabinho,Liverpool,Brazil,MID,"2,012"
3,Jordan Henderson,Liverpool,England,MID,"1,982"
4,James Milner,Liverpool,England,MID,"1,786"
5,Naby Keita,Liverpool,Guinea,MID,"1,394"
6,Adam Lallana,Liverpool,England,MID,465
3,Bernardo Silva,Manchester City,Portugal,MID,"2,853"
7,David Silva,Manchester City,Spain,MID,"2,409"
8,Fernandinho,Manchester City,Brazil,MID,"2,381"
9,Ilkay Gündogan,Manchester City,Germany,MID,"2,135"
12,Riyad Mahrez,Manchester City,Algeria,MID,"1,337"
15,Oleksandr Zinchenko,Manchester City,Ukraine,MID,"1,153"
17,Kevin De Bruyne,Manchester City,Belgium,MID,974
21,Phil Foden,Manchester City,England,MID,329
1,Paul Pogba,Manchester United,France,MID,"3,009"
2,Nemanja Matic,Manchester United,Serbia,MID,"2,440"
3,Jesse Lingard,Manchester United,England,MID,"1,669"
4,Ander Herrera,Manchester United,Spain,MID,"1,404"
5,Juan Mata,Manchester United,Spain,MID,"1,293"
