player,club,nationality,position,throughBalls
Manuel Lanzini,West Ham United,Argentina,MID,4
Pedro Obiang,West Ham United,Equatorial Guinea,MID,2
Carlos Sánchez,West Ham United,Colombia,MID,1
Jack Wilshere,West Ham United,England,MID,1
Rúben Neves,Wolverhampton Wanderers,Portugal,MID,11
Morgan Gibbs-White,Wolverhampton Wanderers,England,MID,4
João Moutinho,Wolverhampton Wanderers,Portugal,MID,4
Conor Coady,Wolverhampton Wanderers,England,MID,3
Hélder Costa,Wolverhampton Wanderers,Portugal,MID,3
Diogo Jota,Wolverhampton Wanderers,Portugal,MID,3
