player,club,nationality,position,touches
Joshua King,AFC Bournemouth,Norway,FWD,"1,493"
Callum Wilson,AFC Bournemouth,England,FWD,838
Lys Mousset,AFC Bournemouth,France,FWD,216
Dominic Solanke,AFC Bournemouth,England,FWD,195
Sam Surridge,AFC Bournemouth,England,FWD,9
Jermain Defoe,AFC Bournemouth,England,FWD,5
Alexandre Lacazette,Arsenal,France,FWD,"1,313"
Pierre-Emerick Aubameyang,Arsenal,Gabon,FWD,"1,132"
Danny Welbeck,Arsenal,England,FWD,87
Eddie Nketiah,Arsenal,England,FWD,37
Glenn Murray,Brighton and Hove Albion,England,FWD,978
Jürgen Locadia,Brighton and Hove Albion,Netherlands,FWD,525
Alireza Jahanbakhsh,Brighton and Hove Albion,Iran,FWD,514
Florin Andone,Brighton and Hove Albion,Romania,FWD,401
José Izquierdo,Brighton and Hove Albion,Colombia,FWD,345
Ashley Barnes,Burnley,Austria,FWD,984
Chris Wood,Burnley,New Zealand,FWD,976
Dwight McNeil,Burnley,England,FWD,871
Sam Vokes,Burnley,Wales,FWD,399
Matej Vydra,Burnley,Czech Republic,FWD,138
Peter Crouch,Burnley,England,FWD,42
David Junior Hoilett,Cardiff City,Canada,FWD,960
Nathaniel Mendez-Laing,Cardiff City,England,FWD,514
Oumar Niasse,Cardiff City,Senegal,FWD,410
Kenneth Zohore,Cardiff City,Denmark,FWD,265
Danny Ward,Cardiff City,England,FWD,159
Rhys Healey,Cardiff City,England,FWD,25
Gary Madine,Cardiff City,England,FWD,18
Eden Hazard,Chelsea,Belgium,FWD,"2,678"
Willian,Chelsea,Brazil,FWD,"1,792"
Pedro,Chelsea,Spain,FWD,"1,438"
Gonzalo Higuaín,Chelsea,Argentina,FWD,462
Álvaro Morata,Chelsea,Spain,FWD,384
Olivier Giroud,Chelsea,France,FWD,371
Callum Hudson-Odoi,Chelsea,England,FWD,309
Wilfried Zaha,Crystal Palace,Cote D'Ivoire,FWD,"1,932"
Jordan Ayew,Crystal Palace,Ghana,FWD,562
Christian Benteke,Crystal Palace,Belgium,FWD,381
Michy Batshuayi,Crystal Palace,Belgium,FWD,273
Alexander Sørloth,Crystal Palace,Norway,FWD,95
Connor Wickham,Crystal Palace,England,FWD,29
Richarlison,Everton,Brazil,FWD,"1,496"
Theo Walcott,Everton,England,FWD,985
Dominic Calvert-Lewin,Everton,England,FWD,802
Cenk Tosun,Everton,Turkey,FWD,445
Ademola Lookman,Everton,England,FWD,439
Oumar Niasse,Everton,Senegal,FWD,46
Aleksandar Mitrovic,Fulham,Serbia,FWD,"1,684"
Luciano Vietto,Fulham,Argentina,FWD,592
Aboubakar Kamara,Fulham,France,FWD,379
Floyd Ayité,Fulham,Togo,FWD,303
Steve Mounie,Huddersfield Town,Benin,FWD,855
Elias Kachunga,Huddersfield Town,The Democratic Republic Of Congo,FWD,500
Laurent Depoitre,Huddersfield Town,Belgium,FWD,467
Karlan Grant,Huddersfield Town,England,FWD,364
Adama Diakhaby,Huddersfield Town,France,FWD,273
Collin Quaner,Huddersfield Town,Germany,FWD,22
Jamie Vardy,Leicester City,England,FWD,757
Kelechi Iheanacho,Leicester City,Nigeria,FWD,419
Shinji Okazaki,Leicester City,Japan,FWD,169
Mohamed Salah,Liverpool,Egypt,FWD,"1,819"
Sadio Mané,Liverpool,Senegal,FWD,"1,806"
Roberto Firmino,Liverpool,Brazil,FWD,"1,762"
Xherdan Shaqiri,Liverpool,Switzerland,FWD,849
Daniel Sturridge,Liverpool,England,FWD,276
Divock Origi,Liverpool,Belgium,FWD,186
Raheem Sterling,Manchester City,England,FWD,"1,958"
Leroy Sané,Manchester City,Germany,FWD,"1,345"
Sergio Agüero,Manchester City,Argentina,FWD,"1,241"
Gabriel Jesus,Manchester City,Brazil,FWD,598
Marcus Rashford,Manchester United,England,FWD,"1,227"
Anthony Martial,Manchester United,France,FWD,"1,047"
Romelu Lukaku,Manchester United,Belgium,FWD,855
Alexis Sánchez,Manchester United,Chile,FWD,580
Mason Greenwood,Manchester United,England,FWD,91
Ayoze Pérez,Newcastle United,Spain,FWD,"1,433"
Salomón Rondón,Newcastle United,Venezuela,FWD,"1,248"
Joselu,Newcastle United,Spain,FWD,322
