player,club,nationality,position,shots,shotsOnTarget,shotsOnTargetPercent
Phil Jones,Manchester United,England,DEF,5,2,40
Eric Bailly,Manchester United,Cote D'Ivoire,DEF,3,1,33
Antonio Valencia,Manchester United,Ecuador,DEF,2,0,0
Matteo Darmian,Manchester United,Italy,DEF,1,1,100
Fabian Schär,Newcastle United,Switzerland,DEF,25,7,28
Jamaal Lascelles,Newcastle United,England,DEF,11,1,9
DeAndre Yedlin,Newcastle United,United States,DEF,11,2,18
Paul Dummett,Newcastle United,Wales,DEF,9,1,11
Ciaran Clark,Newcastle United,Ireland,DEF,7,3,43
Florian Lejeune,Newcastle United,France,DEF,7,2,29
Federico Fernández,Newcastle United,Argentina,DEF,4,1,25
Javier Manquillo,Newcastle United,Spain,DEF,2,1,50
Ryan Bertrand,Southampton,England,DEF,16,2,13
Jannik Vestergaard,Southampton,Denmark,DEF,14,1,7
Maya Yoshida,Southampton,Japan,DEF,13,3,23
Matt Targett,Southampton,England,DEF,11,3,27
Cédric Soares,Southampton,Portugal,DEF,10,3,30
Jack Stephens,Southampton,England,DEF,7,5,71
Wesley Hoedt,Southampton,Netherlands,DEF,6,1,17
Yan Valery,Southampton,France,DEF,6,5,83
Jan Bednarek,Southampton,Poland,DEF,5,1,20
Toby Alderweireld,Tottenham Hotspur,Belgium,DEF,19,5,26
Danny Rose,Tottenham Hotspur,England,DEF,15,2,13
Jan Vertonghen,Tottenham Hotspur,Belgium,DEF,15,2,13
Ben Davies,Tottenham Hotspur,Wales,DEF,14,1,7
Davinson Sánchez,Tottenham Hotspur,Colombia,DEF,14,3,21
Kieran Trippier,Tottenham Hotspur,England,DEF,8,3,38
Serge Aurier,Tottenham Hotspur,Cote D'Ivoire,DEF,4,1,25
Juan Foyth,Tottenham Hotspur,Argentina,DEF,4,1,25
Kyle Walker-Peters,Tottenham Hotspur,England,DEF,2,0,0
José Holebas,Watford,Greece,DEF,17,5,29
Craig Cathcart,Watford,Northern Ireland,DEF,13,5,38
Daryl Janmaat,Watford,Netherlands,DEF,11,1,9
Christian Kabasele,Watford,Belgium,DEF,8,2,25
Adrian Mariappa,Watford,Jamaica,DEF,7,1,14
Kiko Femenía,Watford,Spain,DEF,6,2,33
Adam Masina,Watford,Italy,DEF,3,0,0
Fabián Balbuena,West Ham United,Paraguay,DEF,19,2,11
Angelo Ogbonna,West Ham United,Italy,DEF,14,5,36
Issa Diop,West Ham United,France,DEF,12,5,42
Aaron Cresswell,West Ham United,England,DEF,11,0,0
Pablo Zabaleta,West Ham United,Argentina,DEF,7,1,14
Ryan Fredericks,West Ham United,England,DEF,5,2,40
Arthur Masuaku,West Ham United,The Democratic Republic Of Congo,DEF,4,1,25
Rúben Neves,Wolverhampton Wanderers,Portugal,DEF,74,16,22
Matt Doherty,Wolverhampton Wanderers,Ireland,DEF,46,18,39
Jonny,Wolverhampton Wanderers,Spain,DEF,25,8,32
Willy Boly,Wolverhampton Wanderers,France,DEF,24,6,25
Ryan Bennett,Wolverhampton Wanderers,England,DEF,15,4,27
Rúben Vinagre,Wolverhampton Wanderers,Portugal,DEF,4,3,75
