player,club,nationality,position,touches
Andreas Pereira,Manchester United,Brazil,MID,463
Matt Ritchie,Newcastle United,Scotland,MID,2050
Mohamed Diamé,Newcastle United,Senegal,MID,1136
Isaac Hayden,Newcastle United,England,MID,1084
Kenedy,Newcastle United,Brazil,MID,864
Jonjo Shelvey,Newcastle United,England,MID,809
Ki Sung-yueng,Newcastle United,South Korea,MID,795
Christian Atsu,Newcastle United,Ghana,MID,713
Miguel Almirón,Newcastle United,Paraguay,MID,409
Sean Longstaff,Newcastle United,England,MID,398
Jacob Murphy,Newcastle United,England,MID,120
Pierre-Emile Højbjerg,Southampton,Denmark,MID,2364
Nathan Redmond,Southampton,England,MID,1894
Oriol Romeu,Southampton,Spain,MID,1472
James Ward-Prowse,Southampton,England,MID,1180
Mario Lemina,Southampton,Gabon,MID,1154
Stuart Armstrong,Southampton,Scotland,MID,904
Mohamed Elyounoussi,Southampton,Norway,MID,410
Steven Davis,Southampton,Northern Ireland,MID,82
Josh Sims,Southampton,England,MID,82
Callum Slattery,Southampton,England,MID,60
Christian Eriksen,Tottenham Hotspur,Denmark,MID,2392
Moussa Sissoko,Tottenham Hotspur,France,MID,1739
Harry Winks,Tottenham Hotspur,England,MID,1594
Dele Alli,Tottenham Hotspur,England,MID,1408
Eric Dier,Tottenham Hotspur,England,MID,1285
Lucas Moura,Tottenham Hotspur,Brazil,MID,1200
Erik Lamela,Tottenham Hotspur,Argentina,MID,650
Victor Wanyama,Tottenham Hotspur,Kenya,MID,414
Mousa Dembélé,Tottenham Hotspur,Belgium,MID,376
Oliver Skipp,Tottenham Hotspur,England,MID,180
Georges-Kévin Nkoudou,Tottenham Hotspur,France,MID,6
Luke Amos,Tottenham Hotspur,England,MID,4
Abdoulaye Doucouré,Watford,France,MID,2436
Etienne Capoue,Watford,France,MID,2298
Roberto Pereyra,Watford,Argentina,MID,1703
Will Hughes,Watford,England,MID,1535
Ken Sema,Watford,Sweden,MID,419
Tom Cleverley,Watford,England,MID,297
Domingos Quina,Watford,Portugal,MID,294
Nathaniel Chalobah,Watford,England,MID,156
Felipe Anderson,West Ham United,Brazil,MID,2535
Mark Noble,West Ham United,England,MID,1848
Robert Snodgrass,West Ham United,Scotland,MID,1556
Michail Antonio,West Ham United,England,MID,1335
