rank,player,club,nationality,position,throughBalls
3,Aaron Wan-Bissaka,Crystal Palace,England,MID,1
1,Gylfi Sigurdsson,Everton,Iceland,MID,19
2,Bernard,Everton,Brazil,MID,7
3,Idrissa Gueye,Everton,Senegal,MID,4
4,Morgan Schneiderlin,Everton,France,MID,2
5,Tom Davies,Everton,England,MID,1
5,André Gomes,Everton,Portugal,MID,1
1,Tom Cairney,Fulham,Scotland,MID,7
2,Ryan Sessegnon,Fulham,England,MID,5
3,Ryan Babel,Fulham,Netherlands,MID,3
4,Kevin McDonald,Fulham,Scotland,MID,2
4,André Schürrle,Fulham,Germany,MID,2
4,Jean Michael Seri,Fulham,Cote D'Ivoire,MID,2
1,Juninho Bacuna,Huddersfield Town,Netherlands,MID,6
1,Jonathan Hogg,Huddersfield Town,England,MID,6
3,Aaron Mooy,Huddersfield Town,Australia,MID,2
4,Isaac Mbenza,Huddersfield Town,Belgium,MID,1
4,Alex Pritchard,Huddersfield Town,England,MID,1
4,Jason Puncheon,Huddersfield Town,England,MID,1
4,Ramadan Sobhi,Huddersfield Town,Egypt,MID,1
4,Rajiv van La Parra,Huddersfield Town,Netherlands,MID,1
1,James Maddison,Leicester City,England,MID,22
2,Youri Tielemans,Leicester City,Belgium,MID,11
3,Marc Albrighton,Leicester City,England,MID,9
4,Demarai Gray,Leicester City,England,MID,8
5,Rachid Ghezzal,Leicester City,Algeria,MID,6
5,Wilfred Ndidi,Leicester City,Nigeria,MID,6
7,Harvey Barnes,Leicester City,England,MID,2
7,Vicente Iborra,Leicester City,Spain,MID,2
7,Nampalys Mendy,Leicester City,France,MID,2
1,Jordan Henderson,Liverpool,England,MID,7
1,Naby Keita,Liverpool,Guinea,MID,7
3,James Milner,Liverpool,England,MID,6
4,Georginio Wijnaldum,Liverpool,Netherlands,MID,5
5,Fabinho,Liverpool,Brazil,MID,2
6,Adam Lallana,Liverpool,England,MID,1
1,David Silva,Manchester City,Spain,MID,18
2,Ilkay Gündogan,Manchester City,Germany,MID,17
3,Fernandinho,Manchester City,Brazil,MID,13
4,Riyad Mahrez,Manchester City,Algeria,MID,11
5,Kevin De Bruyne,Manchester City,Belgium,MID,10
5,Bernardo Silva,Manchester City,Portugal,MID,10
11,Phil Foden,Manchester City,England,MID,3
12,Oleksandr Zinchenko,Manchester City,Ukraine,MID,2
1,Paul Pogba,Manchester United,France,MID,15
2,Juan Mata,Manchester United,Spain,MID,6
3,Ander Herrera,Manchester United,Spain,MID,3
3,Jesse Lingard,Manchester United,England,MID,3
3,Nemanja Matic,Manchester United,Serbia,MID,3
3,Fred,Manchester United,Brazil,MID,3
7,Andreas Pereira,Manchester United,Brazil,MID,1
7,Scott McTominay,Manchester United,Scotland,MID,1
1,Mohamed Diamé,Newcastle United,Senegal,MID,5
1,Isaac Hayden,Newcastle United,England,MID,5
1,Matt Ritchie,Newcastle United,Scotland,MID,5
4,Jonjo Shelvey,Newcastle United,England,MID,4
5,Christian Atsu,Newcastle United,Ghana,MID,3
6,Ki Sung-yueng,Newcastle United,South Korea,MID,2
7,Miguel Almirón,Newcastle United,Paraguay,MID,1
