player,club,nationality,position,appearances
Federico Fernández,Newcastle United,Argentina,DEF,19
Javier Manquillo,Newcastle United,Spain,DEF,18
Florian Lejeune,Newcastle United,France,DEF,12
Ciaran Clark,Newcastle United,Ireland,DEF,11
Antonio Barreca,Newcastle United,Italy,DEF,1
Jan Bednarek,Southampton,Poland,DEF,25
Ryan Bertrand,Southampton,England,DEF,24
Jack Stephens,Southampton,England,DEF,24
Yan Valery,Southampton,France,DEF,23
Jannik Vestergaard,Southampton,Denmark,DEF,23
Cédric Soares,Southampton,Portugal,DEF,18
Maya Yoshida,Southampton,Japan,DEF,17
Matt Targett,Southampton,England,DEF,16
Wesley Hoedt,Southampton,Netherlands,DEF,13
Kayne Ramsay,Southampton,England,DEF,1
Toby Alderweireld,Tottenham Hotspur,Belgium,DEF,34
Ben Davies,Tottenham Hotspur,Wales,DEF,27
Kieran Trippier,Tottenham Hotspur,England,DEF,27
Danny Rose,Tottenham Hotspur,England,DEF,26
Davinson Sánchez,Tottenham Hotspur,Colombia,DEF,23
Jan Vertonghen,Tottenham Hotspur,Belgium,DEF,22
Juan Foyth,Tottenham Hotspur,Argentina,DEF,12
Serge Aurier,Tottenham Hotspur,Cote D'Ivoire,DEF,8
Kyle Walker-Peters,Tottenham Hotspur,England,DEF,6
Craig Cathcart,Watford,Northern Ireland,DEF,36
Kiko Femenía,Watford,Spain,DEF,29
José Holebas,Watford,Greece,DEF,28
Adrian Mariappa,Watford,Jamaica,DEF,26
Christian Kabasele,Watford,Belgium,DEF,21
Daryl Janmaat,Watford,Netherlands,DEF,18
Adam Masina,Watford,Italy,DEF,14
Miguel Britos,Watford,Uruguay,DEF,3
Marc Navarro,Watford,Spain,DEF,2
Ben Wilmot,Watford,England,DEF,2
Sebastian Prödl,Watford,Austria,DEF,1
Declan Rice,West Ham United,England,DEF,34
Issa Diop,West Ham United,France,DEF,33
Pablo Zabaleta,West Ham United,Argentina,DEF,26
Angelo Ogbonna,West Ham United,Italy,DEF,24
Fabián Balbuena,West Ham United,Paraguay,DEF,23
Arthur Masuaku,West Ham United,The Democratic Republic Of Congo,DEF,23
Aaron Cresswell,West Ham United,England,DEF,20
Ryan Fredericks,West Ham United,England,DEF,15
Matt Doherty,Wolverhampton Wanderers,Ireland,DEF,38
Willy Boly,Wolverhampton Wanderers,France,DEF,36
Ryan Bennett,Wolverhampton Wanderers,England,DEF,34
Jonny,Wolverhampton Wanderers,Spain,DEF,33
Rúben Vinagre,Wolverhampton Wanderers,Portugal,DEF,17
Max Kilman,Wolverhampton Wanderers,England,DEF,1
