player,club,nationality,position,appearances
Tahith Chong,Manchester United,Netherlands,MID,2
Angel Gomes,Manchester United,England,MID,2
James Garner,Manchester United,England,MID,1
Matt Ritchie,Newcastle United,Scotland,MID,36
Mohamed Diamé,Newcastle United,Senegal,MID,29
Christian Atsu,Newcastle United,Ghana,MID,28
Isaac Hayden,Newcastle United,England,MID,25
Kenedy,Newcastle United,Brazil,MID,25
Ki Sung-yueng,Newcastle United,South Korea,MID,18
Jonjo Shelvey,Newcastle United,England,MID,16
Miguel Almirón,Newcastle United,Paraguay,MID,10
Sean Longstaff,Newcastle United,England,MID,9
Jacob Murphy,Newcastle United,England,MID,9
Nathan Redmond,Southampton,England,MID,38
Pierre-Emile Højbjerg,Southampton,Denmark,MID,31
Oriol Romeu,Southampton,Spain,MID,31
Stuart Armstrong,Southampton,Scotland,MID,29
James Ward-Prowse,Southampton,England,MID,26
Mario Lemina,Southampton,Gabon,MID,21
Mohamed Elyounoussi,Southampton,Norway,MID,16
Josh Sims,Southampton,England,MID,7
Steven Davis,Southampton,Northern Ireland,MID,3
Callum Slattery,Southampton,England,MID,3
Tyreke Johnson,Southampton,England,MID,1
Christian Eriksen,Tottenham Hotspur,Denmark,MID,35
Lucas Moura,Tottenham Hotspur,Brazil,MID,32
Moussa Sissoko,Tottenham Hotspur,France,MID,29
Harry Winks,Tottenham Hotspur,England,MID,26
Dele Alli,Tottenham Hotspur,England,MID,25
Eric Dier,Tottenham Hotspur,England,MID,20
Erik Lamela,Tottenham Hotspur,Argentina,MID,19
Victor Wanyama,Tottenham Hotspur,Kenya,MID,13
Mousa Dembélé,Tottenham Hotspur,Belgium,MID,10
Oliver Skipp,Tottenham Hotspur,England,MID,8
Luke Amos,Tottenham Hotspur,England,MID,1
Georges-Kévin Nkoudou,Tottenham Hotspur,France,MID,1
Abdoulaye Doucouré,Watford,France,MID,35
Etienne Capoue,Watford,France,MID,33
Roberto Pereyra,Watford,Argentina,MID,33
Will Hughes,Watford,England,MID,32
Ken Sema,Watford,Sweden,MID,17
Tom Cleverley,Watford,England,MID,13
Nathaniel Chalobah,Watford,England,MID,9
Domingos Quina,Watford,Portugal,MID,8
Felipe Anderson,West Ham United,Brazil,MID,36
Michail Antonio,West Ham United,England,MID,33
Robert Snodgrass,West Ham United,Scotland,MID,33
Mark Noble,West Ham United,England,MID,31
Pedro Obiang,West Ham United,Equatorial Guinea,MID,24
Grady Diangana,West Ham United,England,MID,17
Manuel Lanzini,West Ham United,Argentina,MID,10
Jack Wilshere,West Ham United,England,MID,8
Carlos Sánchez,West Ham United,Colombia,MID,7
Samir Nasri,West Ham United,France,MID,5
Ben Johnson,West Ham United,England,MID,1
Conor Coady,Wolverhampton Wanderers,England,MID,38
João Moutinho,Wolverhampton Wanderers,Portugal,MID,38
Rúben Neves,Wolverhampton Wanderers,Portugal,MID,35
Diogo Jota,Wolverhampton Wanderers,Portugal,MID,33
Morgan Gibbs-White,Wolverhampton Wanderers,England,MID,26
Hélder Costa,Wolverhampton Wanderers,Portugal,MID,25
Leander Dendoncker,Wolverhampton Wanderers,Belgium,MID,19
Romain Saïss,Wolverhampton Wanderers,Morocco,MID,19
