player,club,nationality,position,crosses
Josh Sims,Southampton,England,MID,1
Callum Slattery,Southampton,England,MID,1
Christian Eriksen,Tottenham Hotspur,Denmark,MID,117
Erik Lamela,Tottenham Hotspur,Argentina,MID,28
Moussa Sissoko,Tottenham Hotspur,France,MID,27
Lucas Moura,Tottenham Hotspur,Brazil,MID,19
Dele Alli,Tottenham Hotspur,England,MID,10
Harry Winks,Tottenham Hotspur,England,MID,8
Eric Dier,Tottenham Hotspur,England,MID,6
Victor Wanyama,Tottenham Hotspur,Kenya,MID,3
Georges-Kévin Nkoudou,Tottenham Hotspur,France,MID,2
Roberto Pereyra,Watford,Argentina,MID,40
Will Hughes,Watford,England,MID,21
Abdoulaye Doucouré,Watford,France,MID,11
Ken Sema,Watford,Sweden,MID,10
Etienne Capoue,Watford,France,MID,5
Tom Cleverley,Watford,England,MID,4
Domingos Quina,Watford,Portugal,MID,2
Nathaniel Chalobah,Watford,England,MID,1
Robert Snodgrass,West Ham United,Scotland,MID,170
Felipe Anderson,West Ham United,Brazil,MID,121
Michail Antonio,West Ham United,England,MID,50
Mark Noble,West Ham United,England,MID,23
Manuel Lanzini,West Ham United,Argentina,MID,16
Grady Diangana,West Ham United,England,MID,14
Pedro Obiang,West Ham United,Equatorial Guinea,MID,7
Samir Nasri,West Ham United,France,MID,3
Jack Wilshere,West Ham United,England,MID,2
João Moutinho,Wolverhampton Wanderers,Portugal,MID,196
Hélder Costa,Wolverhampton Wanderers,Portugal,MID,50
Diogo Jota,Wolverhampton Wanderers,Portugal,MID,36
Rúben Neves,Wolverhampton Wanderers,Portugal,MID,26
Morgan Gibbs-White,Wolverhampton Wanderers,England,MID,17
Romain Saïss,Wolverhampton Wanderers,Morocco,MID,9
Leander Dendoncker,Wolverhampton Wanderers,Belgium,MID,7
