player,club,nationality,position,minutesPlayed
Andreas Pereira,Manchester United,Brazil,MID,594
Matt Ritchie,Newcastle United,Scotland,MID,2939
Mohamed Diamé,Newcastle United,Senegal,MID,2166
Isaac Hayden,Newcastle United,England,MID,1864
Christian Atsu,Newcastle United,Ghana,MID,1488
Kenedy,Newcastle United,Brazil,MID,1343
Ki Sung-yueng,Newcastle United,South Korea,MID,1302
Jonjo Shelvey,Newcastle United,England,MID,944
Miguel Almirón,Newcastle United,Paraguay,MID,763
Sean Longstaff,Newcastle United,England,MID,687
Jacob Murphy,Newcastle United,England,MID,300
Nathan Redmond,Southampton,England,MID,3275
Pierre-Emile Højbjerg,Southampton,Denmark,MID,2764
Oriol Romeu,Southampton,Spain,MID,2139
James Ward-Prowse,Southampton,England,MID,1942
Mario Lemina,Southampton,Gabon,MID,1614
Stuart Armstrong,Southampton,Scotland,MID,1431
Mohamed Elyounoussi,Southampton,Norway,MID,790
Josh Sims,Southampton,England,MID,209
Callum Slattery,Southampton,England,MID,110
Steven Davis,Southampton,Northern Ireland,MID,97
Tyreke Johnson,Southampton,England,MID,1
Christian Eriksen,Tottenham Hotspur,Denmark,MID,2771
Moussa Sissoko,Tottenham Hotspur,France,MID,2337
Lucas Moura,Tottenham Hotspur,Brazil,MID,2128
Dele Alli,Tottenham Hotspur,England,MID,1833
Harry Winks,Tottenham Hotspur,England,MID,1592
Eric Dier,Tottenham Hotspur,England,MID,1509
Erik Lamela,Tottenham Hotspur,Argentina,MID,972
Mousa Dembélé,Tottenham Hotspur,Belgium,MID,515
Victor Wanyama,Tottenham Hotspur,Kenya,MID,513
Oliver Skipp,Tottenham Hotspur,England,MID,216
Georges-Kévin Nkoudou,Tottenham Hotspur,France,MID,4
Luke Amos,Tottenham Hotspur,England,MID,2
Abdoulaye Doucouré,Watford,France,MID,3062
Etienne Capoue,Watford,France,MID,2946
Roberto Pereyra,Watford,Argentina,MID,2821
Will Hughes,Watford,England,MID,2433
Ken Sema,Watford,Sweden,MID,755
Tom Cleverley,Watford,England,MID,471
Domingos Quina,Watford,Portugal,MID,334
Nathaniel Chalobah,Watford,England,MID,267
Felipe Anderson,West Ham United,Brazil,MID,3051
Mark Noble,West Ham United,England,MID,2308
Robert Snodgrass,West Ham United,Scotland,MID,2221
Michail Antonio,West Ham United,England,MID,2099
Pedro Obiang,West Ham United,Equatorial Guinea,MID,1120
Manuel Lanzini,West Ham United,Argentina,MID,689
Grady Diangana,West Ham United,England,MID,605
Jack Wilshere,West Ham United,England,MID,389
Samir Nasri,West Ham United,France,MID,245
Carlos Sánchez,West Ham United,Colombia,MID,240
Ben Johnson,West Ham United,England,MID,63
Conor Coady,Wolverhampton Wanderers,England,MID,3420
João Moutinho,Wolverhampton Wanderers,Portugal,MID,3038
Rúben Neves,Wolverhampton Wanderers,Portugal,MID,3009
Diogo Jota,Wolverhampton Wanderers,Portugal,MID,2368
Leander Dendoncker,Wolverhampton Wanderers,Belgium,MID,1469
Hélder Costa,Wolverhampton Wanderers,Portugal,MID,1345
Romain Saïss,Wolverhampton Wanderers,Morocco,MID,1144
Morgan Gibbs-White,Wolverhampton Wanderers,England,MID,650
