rank,player,club,nationality,position,touches
6,Junior Stanislas,AFC Bournemouth,England,MID,714
7,Lewis Cook,AFC Bournemouth,England,MID,504
8,Jordon Ibe,AFC Bournemouth,England,MID,437
9,Emerson Hyndman,AFC Bournemouth,United States,MID,34
1,Granit Xhaka,Arsenal,Switzerland,MID,"2,784"
2,Lucas Torreira,Arsenal,Uruguay,MID,"2,056"
3,Matteo Guendouzi,Arsenal,France,MID,"1,965"
4,Alex Iwobi,Arsenal,Nigeria,MID,"1,415"
5,Mesut Özil,Arsenal,Germany,MID,"1,384"
6,Henrikh Mkhitaryan,Arsenal,Armenia,MID,"1,197"
7,Aaron Ramsey,Arsenal,Wales,MID,"1,029"
8,Ainsley Maitland-Niles,Arsenal,England,MID,782
9,Mohamed Elneny,Arsenal,Egypt,MID,341
10,Denis Suárez,Arsenal,Spain,MID,59
11,Joe Willock,Arsenal,England,MID,31
1,Dale Stephens,Brighton and Hove Albion,England,MID,"1,709"
2,Davy Pröpper,Brighton and Hove Albion,Netherlands,MID,"1,632"
3,Solly March,Brighton and Hove Albion,England,MID,"1,413"
4,Pascal Groß,Brighton and Hove Albion,Germany,MID,"1,195"
5,Yves Bissouma,Brighton and Hove Albion,Mali,MID,"1,140"
6,Anthony Knockaert,Brighton and Hove Albion,France,MID,"1,060"
7,Beram Kayal,Brighton and Hove Albion,Israel,MID,445
1,Ashley Westwood,Burnley,England,MID,"1,867"
2,Jack Cork,Burnley,England,MID,"1,788"
3,Jeff Hendrick,Burnley,Ireland,MID,946
4,Johann Gudmundsson,Burnley,Iceland,MID,940
5,Aaron Lennon,Burnley,England,MID,472
6,Robbie Brady,Burnley,Ireland,MID,404
7,Steven Defour,Burnley,Belgium,MID,298
1,Víctor Camarasa,Cardiff City,Spain,MID,"1,426"
2,Aron Gunnarsson,Cardiff City,Iceland,MID,"1,254"
3,Joe Ralls,Cardiff City,England,MID,"1,098"
4,Harry Arter,Cardiff City,Ireland,MID,920
5,Josh Murphy,Cardiff City,England,MID,809
6,Bobby De Cordova-Reid,Cardiff City,England,MID,541
7,Leandro Bacuna,Cardiff City,Curacao,MID,254
8,Kadeem Harris,Cardiff City,England,MID,186
9,Loïc Damour,Cardiff City,France,MID,15
1,Jorginho,Chelsea,Italy,MID,"3,551"
2,N'Golo Kanté,Chelsea,France,MID,"2,562"
3,Mateo Kovacic,Chelsea,Croatia,MID,"1,812"
4,Ross Barkley,Chelsea,England,MID,"1,194"
5,Ruben Loftus-Cheek,Chelsea,England,MID,874
6,Cesc Fàbregas,Chelsea,Spain,MID,223
7,Victor Moses,Chelsea,Nigeria,MID,21
1,Luka Milivojevic,Crystal Palace,Serbia,MID,"2,718"
2,Aaron Wan-Bissaka,Crystal Palace,England,MID,"2,286"
3,James McArthur,Crystal Palace,Scotland,MID,"1,987"
4,Andros Townsend,Crystal Palace,England,MID,"1,848"
5,Cheikhou Kouyaté,Crystal Palace,Senegal,MID,"1,082"
6,Max Meyer,Crystal Palace,Germany,MID,935
7,Bakary Sako,Crystal Palace,Mali,MID,20
8,Jason Puncheon,Crystal Palace,England,MID,14
9,Luke Dreher,Crystal Palace,England,MID,3
1,Idrissa Gueye,Everton,Senegal,MID,"2,287"
2,Gylfi Sigurdsson,Everton,Iceland,MID,"1,717"
3,André Gomes,Everton,Portugal,MID,"1,563"
4,Bernard,Everton,Brazil,MID,"1,298"
5,Tom Davies,Everton,England,MID,682
6,Morgan Schneiderlin,Everton,France,MID,673
7,James McCarthy,Everton,Ireland,MID,10
1,Jean Michael Seri,Fulham,Cote D'Ivoire,MID,"2,004"
2,Tom Cairney,Fulham,Scotland,MID,"1,749"
3,André-Frank Zambo Anguissa,Fulham,Cameroon,MID,"1,394"
4,Ryan Sessegnon,Fulham,England,MID,"1,236"
5,André Schürrle,Fulham,Germany,MID,895
6,Ryan Babel,Fulham,Netherlands,MID,725
7,Kevin McDonald,Fulham,Scotland,MID,670
8,Stefan Johansen,Fulham,Norway,MID,307
9,Ibrahima Cissé,Fulham,Guinea,MID,46
10,Lazar Markovic,Fulham,Serbia,MID,40
11,Harvey Elliott,Fulham,England,MID,15
1,Jonathan Hogg,Huddersfield Town,England,MID,"1,924"
2,Aaron Mooy,Huddersfield Town,Australia,MID,"1,796"
3,Philip Billing,Huddersfield Town,Denmark,MID,"1,724"
4,Alex Pritchard,Huddersfield Town,England,MID,"1,395"
5,Juninho Bacuna,Huddersfield Town,Netherlands,MID,"1,061"
