player,club,nationality,position,minutesPlayed
DeAndre Yedlin,Newcastle United,United States,DEF,2474
Fabian Schär,Newcastle United,Switzerland,DEF,2003
Paul Dummett,Newcastle United,Wales,DEF,1987
Federico Fernández,Newcastle United,Argentina,DEF,1482
Javier Manquillo,Newcastle United,Spain,DEF,1099
Florian Lejeune,Newcastle United,France,DEF,1055
Ciaran Clark,Newcastle United,Ireland,DEF,858
Antonio Barreca,Newcastle United,Italy,DEF,4
Ryan Bertrand,Southampton,England,DEF,2160
Jan Bednarek,Southampton,Poland,DEF,2150
Jannik Vestergaard,Southampton,Denmark,DEF,2030
Yan Valery,Southampton,France,DEF,1714
Jack Stephens,Southampton,England,DEF,1697
Maya Yoshida,Southampton,Japan,DEF,1519
Cédric Soares,Southampton,Portugal,DEF,1494
Matt Targett,Southampton,England,DEF,1187
Wesley Hoedt,Southampton,Netherlands,DEF,1170
Kayne Ramsay,Southampton,England,DEF,90
Toby Alderweireld,Tottenham Hotspur,Belgium,DEF,2923
Kieran Trippier,Tottenham Hotspur,England,DEF,2278
Davinson Sánchez,Tottenham Hotspur,Colombia,DEF,1943
Jan Vertonghen,Tottenham Hotspur,Belgium,DEF,1914
Ben Davies,Tottenham Hotspur,Wales,DEF,1839
Danny Rose,Tottenham Hotspur,England,DEF,1798
Juan Foyth,Tottenham Hotspur,Argentina,DEF,890
Serge Aurier,Tottenham Hotspur,Cote D'Ivoire,DEF,563
Kyle Walker-Peters,Tottenham Hotspur,England,DEF,374
Craig Cathcart,Watford,Northern Ireland,DEF,3098
José Holebas,Watford,Greece,DEF,2394
Kiko Femenía,Watford,Spain,DEF,2046
Adrian Mariappa,Watford,Jamaica,DEF,1924
Christian Kabasele,Watford,Belgium,DEF,1587
Daryl Janmaat,Watford,Netherlands,DEF,1522
Adam Masina,Watford,Italy,DEF,1004
Miguel Britos,Watford,Uruguay,DEF,185
Marc Navarro,Watford,Spain,DEF,85
Ben Wilmot,Watford,England,DEF,26
Sebastian Prödl,Watford,Austria,DEF,13
Declan Rice,West Ham United,England,DEF,3004
Issa Diop,West Ham United,France,DEF,2970
Pablo Zabaleta,West Ham United,Argentina,DEF,2091
Fabián Balbuena,West Ham United,Paraguay,DEF,2014
Angelo Ogbonna,West Ham United,Italy,DEF,1871
Arthur Masuaku,West Ham United,The Democratic Republic Of Congo,DEF,1757
Aaron Cresswell,West Ham United,England,DEF,1590
Ryan Fredericks,West Ham United,England,DEF,1085
Willy Boly,Wolverhampton Wanderers,France,DEF,3168
Matt Doherty,Wolverhampton Wanderers,Ireland,DEF,3147
Ryan Bennett,Wolverhampton Wanderers,England,DEF,3060
Jonny,Wolverhampton Wanderers,Spain,DEF,2777
Rúben Vinagre,Wolverhampton Wanderers,Portugal,DEF,706
Max Kilman,Wolverhampton Wanderers,England,DEF,1
